"CODIGO","CIDADE","ESTADO","PAIS"
1,Moreira Sales,PR,Brasil
2,Campo Mourão,PR,Brasil
3,Tuneiras do Oeste,PR,Brasil
4,Campo Mourão,PR,Brasil
5,Campo Mourão,PR,Brasil
6,Campo Mourão,PR,Brasil
7,Campo Mourão,PR,Brasil
8,Campo Mourão,PR,Brasil
9,Bombinhas,SC,Brasil
10,Bocaiúva do Sul,PR,Brasil
11,Bombinhas,SC,Brasil
12,Campo Mourão,PR,Brasil
13,Peabiru,PR,Brasil
14,Vila Propício,GO,Brasil
15,Araruna,PR,Brasil
16,Brejo São Mateus,GO,Brasil
17,Campo Mourão,PR,Brasil
18,Brejo São Mateus,GO,Brasil
19,Campo Mourão,PR,Brasil
20,Engenheiro Beltrão,PR,Brasil
21,Palmeira,PR,Brasil
22,Peabiru,PR,Brasil
23,Farol,PR,Brasil
24,Cianorte,PR,Brasil
25,Campo Mourão,PR,Brasil
75,Corumbataí do Sul,PR,Brasil
27,Campina da Lagoa,PR,Brasil
28,Campo Mourão,PR,Brasil
29,Vila Propício,GO,Brasil
30,Santa Quitéria do Maranhão,MA,Brasil
31,Boa Esperança,MG,Brasil
32,Boa Esperança,MG,Brasil
33,Colinas do Sul,GO,Brasil
34,Vila Propício,GO,Brasil
35,Colinas do Sul,GO,Brasil
36,Morretes,PR,Brasil
37,Correntina,BA,Brasil
38,Jandaia do Sul,PR,Brasil
39,Morretes,PR,Brasil
40,Luiziana,PR,Brasil
41,Piraquara,PR,Brasil
42,Curitiba,PR,Brasil
43,Pitanga,PR,Brasil
44,São Pedro do Ivaí,PR,Brasil
45,Campo Mourão,PR,Brasil
46,Peabiru,PR,Brasil
47,Guarapuava,PR,Brasil
48,Campo Mourão,PR,Brasil
49,Morretes,PR,Brasil
50,Campo Mourão,PR,Brasil
51,Lidianópolis,PR,Brasil
52,Moreira Sales,PR,Brasil
53,Campo Mourão,PR,Brasil
54,Porto Rico,PR,Brasil
55,Engenheiro Beltrão,PR,Brasil
56,Campo Mourão,PR,Brasil
57,Campo Mourão,PR,Brasil
58,Brasília,DF,Brasil
59,Pontal do Paraná,PR,Brasil
60,Pontal do Paraná,PR,Brasil
61,Campo Alegre,SC,Brasil
62,Pitanga,PR,Brasil
63,Campo Mourão,PR,Brasil
64,Vera Cruz do Oeste,PR,Brasil
65,Farol,PR,Brasil
66,Campo Mourão,PR,Brasil
67,Pontal do Paraná,PR,Brasil
68,Boa Esperança,MG,Brasil
69,Janiópolis,PR,Brasil
70,Janiópolis,PR,Brasil
71,Campo Mourão,PR,Brasil
72,Ubiratã,PR,Brasil
73,Campo Mourão,PR,Brasil
74,Guaraqueçaba,PR,Brasil
76,São Francisco de Paula,RS,Brasil
77,Riozinho,RS,Brasil
78,Maquiné,RS,Brasil
79,Florianópolis,SC,Brasil
80,Bombinhas,SC,Brasil
81,Vera Cruz do Oeste,PR,Brasil
82,Itanhaém,SP,Brasil
83,Itaju,SP,Brasil
84,Curitiba,PR,Brasil
85,Campo Mourão,PR,Brasil
86,Brasília,DF,Brasil
87,Colinas do Sul,GO,Brasil
88,Brasília,DF,Brasil
89,Colinas do Sul,GO,Brasil
90,Itaquiraí,MS,Brasil
91,Piraquara,PR,Brasil
92,Tuneiras do Oeste,PR,Brasil
93,Quatro Barras,PR,Brasil
94,Pitanga,PR,Brasil
95,Luiziana,PR,Brasil
96,Mamborê,PR,Brasil
97,Corumbataí do Sul,PR,Brasil
98,Corumbataí do Sul,PR,Brasil
99,Flores de Goiás,GO,Brasil
100,Loanda,PR,Brasil
101,Goioerê,PR,Brasil
102,Campo Mourão,PR,Brasil
103,Céu Azul,PR,Brasil
104,Engenheiro Beltrão,PR,Brasil
105,Janiópolis,PR,Brasil
106,Campo Mourão,PR,Brasil
107,Campina Grande do Sul,PR,Brasil
108,Morretes,PR,Brasil
109,Campina Grande do Sul,PR,Brasil
110,Moreira Sales,PR,Brasil
111,Campo Mourão,PR,Brasil
112,Goioerê,PR,Brasil
113,Engenheiro Beltrão,PR,Brasil
114,Engenheiro Beltrão,PR,Brasil
115,Goioerê,PR,Brasil
116,Sapucaia,PA,Brasil
117,Campo Mourão,PR,Brasil
118,Engenheiro Beltrão,PR,Brasil
119,Campina da Lagoa,PR,Brasil
120,Mamborê,PR,Brasil
121,Farol,PR,Brasil
122,Roncador,PR,Brasil
123,Porto Iguazú,MI,Argentina
124,Peabiru,PR,Brasil
125,Fênix,PR,Brasil
126,Araruna,PR,Brasil
127,Luiziana,PR,Brasil
128,Peabiru,PR,Brasil
129,Engenheiro Beltrão,PR,Brasil
130,Marialva,PR,Brasil
131,Telêmaco Borba,PR,Brasil
132,Araruna,PR,Brasil
133,Coronel Martins,SC,Brasil
134,Roncador,PR,Brasil
135,Campo Mourão,PR,Brasil
136,Ubiratã,PR,Brasil
137,Campo Mourão,PR,Brasil
138,Janiópolis,PR,Brasil
139,Luiziana,PR,Brasil
140,Jaraguá do Sul,SC,Brasil
141,Santo Antônio do Sudoeste,PR,Brasil
142,Ubiratã,PR,Brasil
143,Moreira Sales,PR,Brasil
144,Araruna,PR,Brasil
145,Francisco Beltrão,PR,Brasil
146,Paiçandu,PR,Brasil
147,Corumbataí do Sul,PR,Brasil
148,Piraquara,PR,Brasil
149,Piên,PR,Brasil
150,Luiziana,PR,Brasil
151,Teixeira Soares,PR,Brasil
152,Adrianópolis,PR,Brasil
153,Foz do Iguaçu,PR,Brasil
154,Campo Mourão,PR,Brasil
155,Medianeira,PR,Brasil
156,Jaguariaíva,PR,Brasil
157,Campo Mourão,PR,Brasil
158,Quinta do Sol,PR,Brasil
159,Santa Isabel do Ivaí,PR,Brasil
160,Parque Nacional de Ilha Grande,MS,Brasil
161,Mamborê,PR,Brasil
162,Pontal do Paraná,PR,Brasil
163,Peabiru,PR,Brasil
164,Campo Mourão,PR,Brasil
165,Engenheiro Beltrão,PR,Brasil
166,Foz do Iguaçu,PR,Brasil
167,Ubiratã,PR,Brasil
168,Campo Mourão,PR,Brasil
169,Quarto Centenário,PR,Brasil
170,Goioerê,PR,Brasil
171,Luiziana,PR,Brasil
172,Mangueirinha,PR,Brasil
173,Campo Mourão,PR,Brasil
175,Adrianópolis,PR,Brasil
176,Araruna,PR,Brasil
177,Ponta Grossa,PR,Brasil
253,Guaratuba,PR,Brasil
179,São José dos Pinhais,PR,Brasil
180,Cavalcante,GO,Brasil
181,Campo Mourão,PR,Brasil
182,Moreira Sales,PR,Brasil
183,Antonina,PR,Brasil
184,Arinos,MG,Brasil
185,Brasília,DF,Brasil
186,Brasília,DF,Brasil
187,Campo Mourão,PR,Brasil
188,Cianorte,PR,Brasil
189,Cianorte,PR,Brasil
190,Cristália,MG,Brasil
191,Joaquim Felício,MG,Brasil
192,Atibaia,SP,Brasil
193,Almas,TO,Brasil
