CODIGO,CIDADE,ESTADO,PAIS
1,4116109,,BRASIL
2,4104303,,BRASIL
3,4127908,,BRASIL
4,4104303,,BRASIL
5,4104303,,BRASIL
6,4104303,,BRASIL
7,4104303,,BRASIL
8,4104303,,BRASIL
9,4202453,,BRASIL
10,4103107,,BRASIL
11,4202453,,BRASIL
12,4104303,,BRASIL
13,4118808,,BRASIL
14,5222302,,BRASIL
15,4101705,,BRASIL
16,NI,GOIAS,BRASIL
17,4104303,,BRASIL
18,NI,GOIAS,BRASIL
19,4104303,,BRASIL
20,4107504,,BRASIL
21,4117701,,BRASIL
22,4118808,,BRASIL
23,4107553,,BRASIL
24,4105508,,BRASIL
25,4104303,,BRASIL
75,4106555,,BRASIL
27,4103909,,BRASIL
28,4104303,,BRASIL
29,5222302,,BRASIL
30,2110104,,BRASIL
31,3107109,,BRASIL
32,3107109,,BRASIL
33,5205521,,BRASIL
34,5222302,,BRASIL
35,5205521,,BRASIL
36,4116208,,BRASIL
37,2909307,,BRASIL
38,4112108,,BRASIL
39,4116208,,BRASIL
40,4113734,,BRASIL
41,4119509,,BRASIL
42,4106902,,BRASIL
43,4119608,,BRASIL
44,4125803,,BRASIL
45,4104303,,BRASIL
46,4118808,,BRASIL
47,4109401,,BRASIL
48,4104303,,BRASIL
49,4116208,,BRASIL
50,4104303,,BRASIL
51,4113429,,BRASIL
52,4116109,,BRASIL
53,4104303,,BRASIL
54,4120200,,BRASIL
55,4107504,,BRASIL
56,4104303,,BRASIL
57,4104303,,BRASIL
58,5300108,,BRASIL
59,4119954,,BRASIL
60,4119954,,BRASIL
61,4203303,,BRASIL
62,4119608,,BRASIL
63,4104303,,BRASIL
64,4128559,,BRASIL
65,4107553,,BRASIL
66,4104303,,BRASIL
67,4119954,,BRASIL
68,3107109,,BRASIL
69,4112207,,BRASIL
70,4112207,,BRASIL
71,4104303,,BRASIL
72,4128005,,BRASIL
73,4104303,,BRASIL
74,4109500,,BRASIL
76,4318200,,BRASIL
77,4315750,,BRASIL
78,4311775,,BRASIL
79,4205407,,BRASIL
80,4202453,,BRASIL
81,4128559,,BRASIL
82,3522109,,BRASIL
83,3522000,,BRASIL
84,4106902,,BRASIL
85,4104303,,BRASIL
86,5300108,,BRASIL
87,5205521,,BRASIL
88,5300108,,BRASIL
89,5205521,,BRASIL
90,5004601,,BRASIL
91,4119509,,BRASIL
92,4127908,,BRASIL
93,4120804,,BRASIL
94,4119608,,BRASIL
95,4113734,,BRASIL
96,4114005,,BRASIL
97,4106555,,BRASIL
98,4106555,,BRASIL
99,5207907,,BRASIL
100,4113502,,BRASIL
101,4108601,,BRASIL
102,4104303,,BRASIL
103,4105300,,BRASIL
104,4107504,,BRASIL
105,4112207,,BRASIL
106,4104303,,BRASIL
107,4104006,,BRASIL
108,4116208,,BRASIL
109,4104006,,BRASIL
110,4116109,,BRASIL
111,4104303,,BRASIL
112,4108601,,BRASIL
113,4107504,,BRASIL
114,4107504,,BRASIL
115,4108601,,BRASIL
116,1507755,,BRASIL
117,4104303,,BRASIL
118,4107504,,BRASIL
119,4103909,,BRASIL
120,4114005,,BRASIL
121,4107553,,BRASIL
122,4122503,,BRASIL
123,NI,NI,ARGENTINA
124,4118808,,BRASIL
125,4107702,,BRASIL
126,4101705,,BRASIL
127,4113734,,BRASIL
128,4118808,,BRASIL
129,4107504,,BRASIL
130,4114807,,BRASIL
131,4127106,,BRASIL
132,4101705,,BRASIL
