HCF,OBSERVACAO
766,"planta herbácea, trepadeira, com folhas elípticas. Flores roxas, com estames roxos e brancos."
4121,"erva, trepadeira com gavinhas, semi-ciófila, com frutos imaturos negros e maduros de cor roxa."
2252,"heliófita, trapadeira com gavinhas com flores rosas. Estames de cor branca e roxa."
1102,"planta herbácea, trepadeira, com flores de pétalas carnosas rosas."
1087,"planta herbácea, trepadeira com gavinhas. Flores com pétalas roxas."
280,presença de flores.
2617,"trepadeira ciófila de freqüência comum, flores roxas (corola) e amarelas (estames), folhas membranáceas"
1059,"planta herbácea, trepadeira, com gavinhas para a sustentação. Flores roxas. Em subosque da Floresta Estacional Semidecidual, a 3m do solo."
1537,"herbácea, rupícula, com folhas verde-escuras, pilosas. Flores de cor vermelha"
2993,"arvoreta ereta, heliófita, com frutos carnosos, verdes. Ao lado de um córrego. Casca áspera no fuste."
1972,"trepadeira, herbácea, com frutos roxos em forma de prisma. Orla da floresta."
872,"planta herbácea, trepadeira com gavinhas. Flores brancas e frutos rosas."
1706,"arvoreta heliófita c.a. 5,0m; folhas discolores; frutos imaturos cor verde."
3287,"herbácea, com folhas glabras, pseudo-bipartidas, presença de frutos verdes e flores de cor creme."
3401,"trepadeira com gavinhas, heliófita, com flores de corola branca e rosa e cálice verde."
2145,"Escandente, fruto imaturo verde. Orla da mata Ombrófila Densa."
2947,"herbácea, trepadeira com gavinhas, frutos imaturos verdes. Em restinga."
3471,"herbácea, trepadeira com gavinhas, com frutos imaturos de cor verde."
1499,"herbácea, trepadeira, com gavinhas, com folhas alternas entre si e opostas às flores que possuem pétalas branco-amareladas."
1327,"planta herbácea, trepadeira com flores brancas, providas de estames brancos e roxos."
3130,"herbácea, com aproximadamente 40cm, heliófita, glabra, com inflorescências em umbela, com flores de cor branca."
1957,"herbácea, trepadeira com gavinhas, com frutos imaturos verdes e flores brancas."
2932,"herbácea, trepadeira volúvel, com flores brancas."
3075,"herbácea, heliófita, com fruto seco, em solo arenoso."
383,"Árvore com cerca de 15m de altura, macho, com presença de estróbilos masculinos."
2125,"Árvore c.a. 20m de altura, originária da Austrália."
415,"Trepadeira, com folhas tripartidas, com pecíolos e caule pubescentes."
4053,"Pteridófita terrestre, ciófila, c.a. 40cm e presença de esporos."
1956,"Planta terrestre encontrada na base da árvore, com presença de esporos."
3648,"Pteridófita epífita, encontrada na copa do forófito a aproximadamente 5m do chão. Planta ciófila, com esporos."
12149,"erva semi-ciófila, ripária, epífita. Flores amarelas."
2980,"herbácea, com aproximadamente 0,6m de altura, heliófita, com inflorescências em umbelas, com flores lilases."
1056,"Planta herbácea, epífita, com folhas longas partidas. Cerca de 2m do nível do solo."
1560,"herbácea, ereta, com folhas rosuladas, lineares, inteiras. Inflorescência em capítulos. Espécie rupícola."
2985,"herbácea, ereta, em beira d'água, heliófita, com material fértil espiciforme."
748,"planta herbácea, com haste floral ereta. Folhas com bordo liso."
747,"Planta herbácea, com haste floral ereta. Folhas com bordos laterais pungentes."
3564,"herbácea, de folhas imbricadas com bordas espiniformes, com inflorescências secas. Em área de campo sujo."
3524,"herbácea, ereta a prostrada, com flores azuis claras, c.a. 0,6m."
4487,"arbusto semi-ciófilo, com frutos."
749,"planta herbácea, com haste floral ereta. Folhas com bordos laterais pungentes. Material vegetativo em separado."
1563,"planta herbácea, com folhas rosuladas."
2465,"herbácea, ereta, heliófita."
4116,"herbácea, rasteira, semi-ciófila, com flores amarelas."
1162,"Planta herbácea, volúvel, com presença de frutos em umbelas."
4488,arbusto ciófilo com frutos.
300,"árvore da arborização urbana, com flores amarelas."
1680,"Flores alaranjadas nos ramos novos. Folhas alternas, coriáceas."
1691,"arbusto heliófito c.a. 3,5m altura; folhas discolores, cartáceas; botões florais ferrugíneos. Comum"
1777,arvoreta com cerca de 4m de altura; flores amarelo-alaranjadas.
3907,"Arvoreta ca. 3m de altura. Botões e flores de cor pardacentas, alguns sendo comidos por abelhas arapuá. Coletada nos fundos da casa de hóspedes da Fazenda, em vegetação de cerrados."
4467,"árvore heliófita, ca. 4m de altura, com presença de botões florais de cor marrom."
4243,"arvoreta ca. 2,5m, com frutos verdes (imaturos) e os maduros abertos, internamente alaranjados, com sementes negras."
3927,"árvore heliófita ca. 7,0m altura e 0,06m DAP. Folhas cartáceas; frutos imaturos cor verde-avermelhados. Comum. Solo: argilo/pedrogoso. Vegetação: cerrado fechado denso."
1741,"arvoreta heliófita ca. 4,5m altura; folhas discolores, cartáceas; flores brancas, pétalas externas róseas. Comum."
1687,"árvore semi-ciófila ca. 5,0m altura e 0,11 DAP; folhas cartáceas; frutos imaturos avermelhados. Comum."
2842,"árvore ca. 15m, com frutos imaturos de cor verde."
3873,"árvore heliófita ca. 4,0m altura e 0,06m DAP; folhas cartáceas; frutos maduros avermelhados. Solo: arenoso."
4489,"herbácea, terrestre, ciófila, com soros na face abaxial das folhas."
3,único exemplar adulto jovem encontrado.
5509,"trepadeira volúvel, heliófita. Com flores esverdeadas. Na vegetação ciliar."
