"HCF","OBS_TOMBO"
1,
2,
3,Det. por M.G. Caxambu em 31/X/2006 como Rollinia sylvatica
4,
5,Det. por M.G. Caxambu em 17/XI/2000 como Tabebuia heptaphylla
6,
7,Det. por J.P. Poyer et al em 04/XI/2000 como Tabebuia chrysotricha
8,
9,Det. por M.G. Caxambu em 17/XI/2000 como Caesalpinia peltophoroides
10,Det. por M.G. Caxambu em 17/XI/2000 como Caesalpinia peltophoroides
11,
12,unicata
13,
14,
15,
16,
17,
18,
19,
20,
21,Det. por M. Alves em 08/VI/2009 como R. cephalotes
22,
23,
24,
25,Det. por D.C. Souza como E. nodulosa em 03/VII/2001
26,
27,Det. por G. Hatschbach em 05/I/2004 como pertencente a Caesalpinaceae
28,rev. por A.O.S. Vieira em 08/VI/2009
29,duplicata
30,
31,
32,
33,unicata
34,Det. por M.G. Caxambu em 02/V/2001 como Caesalpinia peltophoroides
35,unicata
36,
37,
38,
39,
40,
41,
42,
43,Det. por M.G. Caxambu em 2001 como pertencente a Caesalpinaceae
44,Det. por M.G. Caxambu em 16/VIII/2001 como Caesalpinia leiostachya
45,
46,Det. por M.G. Caxambu em 17/VIII/2001 como pertencente a Caesalpinaceae
47,Det. por M.G. Caxambu em 15/VIII/2002 como pertencente a Mimosaceae
48,duplicata
49,Det. por M.G. Caxambu em 18/XII/2003 como pertencente a Caesalpinaceae
50,
51,Det. por M.G. Caxambu em 17/VIII/2001 como Vernonia discolor
52,Det. por M.G. Caxambu como pertencente a Caesalpinaceae em 24/VII/2002
53,
54,
55,
56,
57,
58,anterior// det. por M.G. Caxambu em 25/VII/2002 como Arrabiadaea candicans
59,Det. por M.G. Caxambu em 04/V/2004 como Ruellia angustifolia
60,unicata
61,unicata
62,
63,
64,
65,
66,
67,
68,
69,Det. por M.G. Caxambu em 18/XII/2003 como pertencente a Caesalpinaceae
70,Det. por N.M. Silva em 19/VII/2002 como pertencente a Caesalpinaceae
71,Det. por A.A. Ferreira como pertencente a Caesalpinaceae em 06/IV/2002
72,Det. por M.G. Caxambu em 19/VII/2002 como pertencente a Caesalpinaceae
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,Det. por M.G. Caxambu como pertencente a Mimosa scabrella em 15/VIII/2002
95,unicata
96,unicata
97,
98,
99,
100,
101,
102,Det. por G.Hatschbach em 05/I/2004 como Hexaclamys edulis
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,Det. por M.G. Caxambu em 23/I/2003 como pertencente a Caesalpinaceae
117,
118,
119,Det. por G.G. Hatschbach como O. bicolor em 05/I/2004
120,
121,
122,Det. por M.G. Caxambu como pertencente a Caesalpinaceae em 01/IX/2002
123,Det. por M.G. Caxambu em 21/VIII/2002 como pertencente a Caesalpinaceae
124,Det. por M.G. Caxambu em 28/VIII/2002 como Caesalpinia leiostachya
125,
126,Det. por M.G. Caxambu em 04/V/2004 como Ruellia angustifolia
127,unicata
128,
129,
130,Det. por G. Hatschbach em 05/I/2004 como A. phyllitidis em Schizaeaceae
131,
132,
133,Det. por M.G. Caxambu em 07/II/2003 como pertencente a Ulmaceae
134,unicata
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,Det. por M.G. Caxambu em 05/II/2003 como Tabebuia chrysotricha
150,
151,
152,
153,
154,
155,
156,
157,Det. por M.G. Caxambu em 22/III/2003 como pertencente a Caesalpinaceae
158,
159,
160,
161,
162,
163,Det. por G.G. Hatscbach como Gomidesia sellowiana em 05-I-2004
