id,obs_tombo,tombo_tipo
12,unicata,UNICATA
29,duplicata,DUPLICATA
33,unicata,UNICATA
35,unicata,UNICATA
48,duplicata,DUPLICATA
60,unicata,UNICATA
61,unicata,UNICATA
95,unicata,UNICATA
96,unicata,UNICATA
127,unicata,UNICATA
134,unicata,UNICATA
165,unicata,UNICATA
193,unicata,UNICATA
198,unicata,UNICATA
200,unicata,UNICATA
204,unicata,UNICATA
207,duplicata,DUPLICATA
208,unicata,UNICATA
209,duplicata,DUPLICATA
211,duplicata,DUPLICATA
232,unicata,UNICATA
233,unicata,UNICATA
234,unicata,UNICATA
235,unicata,UNICATA
240,unicata,UNICATA
243,unicata,UNICATA
257,unicata,UNICATA
266,unicata,UNICATA
271,unicata,UNICATA
273,duplicata,DUPLICATA
278,unicata,UNICATA
304,unicata,UNICATA
368,unicata,UNICATA
395,unicata,UNICATA
397,unicata,UNICATA
437,duplicata,DUPLICATA
443,duplicata,DUPLICATA
478,unicata,UNICATA
488,unicata,UNICATA
499,unicata,UNICATA
507,unicata,UNICATA
526,duplicata,DUPLICATA
557,unicata,UNICATA
560,unicata,UNICATA
606,duplicata,DUPLICATA
615,duplicata,DUPLICATA
616,duplicata,DUPLICATA
619,unicata,UNICATA
620,unicata,UNICATA
623,unicata,UNICATA
632,duplicata,DUPLICATA
672,unicata,UNICATA
689,unicata,UNICATA
690,unicata,UNICATA
712,unicata,UNICATA
816,duplicata,DUPLICATA
850,duplicata,DUPLICATA
868,duplicata,DUPLICATA
881,unicata,UNICATA
883,unicata,UNICATA
904,unicata,UNICATA
949,unicata,UNICATA
971,unicata,UNICATA
1000,duplicata,DUPLICATA
1021,unicata,UNICATA
1024,unicata,UNICATA
1028,unicata,UNICATA
1072,duplicata,DUPLICATA
1082,duplicata,DUPLICATA
1089,duplicata,DUPLICATA
1092,unicata,UNICATA
1106,duplicata,DUPLICATA
1119,duplicata,DUPLICATA
1150,duplicata,DUPLICATA
1160,unicata,UNICATA
1182,unicata,UNICATA
1188,unicata,UNICATA
1204,unicata,UNICATA
1285,duplicata,DUPLICATA
1294,duplicata,DUPLICATA
1300,duplicata,DUPLICATA
1319,unicata,UNICATA
1364,duplicata,DUPLICATA
1404,unicata,UNICATA
1430,unicata,UNICATA
1443,duplicata,DUPLICATA
1468,duplicata,DUPLICATA
1469,unicata,UNICATA
1475,unicata,UNICATA
1476,unicata,UNICATA
1480,unicata,UNICATA
1525,duplicata,DUPLICATA
1535,unicata,UNICATA
1540,duplicata,DUPLICATA
1569,Duplicata,DUPLICATA
1581,duplicata,DUPLICATA
1584,duplicata,DUPLICATA
1591,unicata,UNICATA
1621,duplicata,DUPLICATA
1624,unicata,UNICATA
1630,duplicata,DUPLICATA
1637,unicata,UNICATA
1649,duplicata,DUPLICATA
1666,duplicata,DUPLICATA
1669,duplicata,DUPLICATA
1671,duplicata,DUPLICATA
1689,unicata,UNICATA
1706,unicata,UNICATA
1711,unicata,UNICATA
1713,duplicata,DUPLICATA
1716,unicata,UNICATA
1717,unicata,UNICATA
1724,unicata,UNICATA
1730,duplicata,DUPLICATA
1731,unicata,UNICATA
1736,unicata,UNICATA
1752,unicata,UNICATA
1763,unicata,UNICATA
1833,duplicata,DUPLICATA
1842,Unicata,UNICATA
1846,duplicata,DUPLICATA
1849,unicata,UNICATA
1863,unicata,UNICATA
1866,unicata,UNICATA
1873,unicata,UNICATA
1888,unicata,UNICATA
1890,duplicata,DUPLICATA
1894,unicata,UNICATA
1896,unicata,UNICATA
1911,duplicata,DUPLICATA
1915,duplicata,DUPLICATA
1925,unicata,UNICATA
1947,unicata,UNICATA
1969,unicata,UNICATA
2000,unicata,UNICATA
2001,unicata,UNICATA
2026,unicata,UNICATA
2031,duplicata,DUPLICATA
2072,unicata,UNICATA
2073,unicata,UNICATA
2075,unicata,UNICATA
2076,unicata,UNICATA
2079,duplicata,DUPLICATA
2087,duplicata,DUPLICATA
2095,unicata,UNICATA
2112,duplicata,DUPLICATA
2113,unicata,UNICATA
2119,duplicata,DUPLICATA
2120,unicata,UNICATA
2130,unicata,UNICATA
2133,duplicata,DUPLICATA
2135,unicata,UNICATA
2148,unicata,UNICATA
2151,duplicata,DUPLICATA
2161,duplicata,DUPLICATA
2164,unicata,UNICATA
2166,duplicata,DUPLICATA
2169,unicata,UNICATA
2172,duplicata,DUPLICATA
2184,duplicata,DUPLICATA
2226,duplicata,DUPLICATA
2238,unicata,UNICATA
2241,duplicata,DUPLICATA
2250,duplicata,DUPLICATA
2269,duplicata,DUPLICATA
2305,duplicata,DUPLICATA
2327,duplicata,DUPLICATA
2331,duplicata,DUPLICATA
2344,unicata,UNICATA
2368,duplicata,DUPLICATA
2374,duplicata,DUPLICATA
2378,unicata,UNICATA
2380,duplicata,DUPLICATA
2386,duplicata,DUPLICATA
2391,duplicata,DUPLICATA
2392,duplicata,DUPLICATA
2395,duplicata,DUPLICATA
2405,unicata,UNICATA
2415,duplicata,DUPLICATA
2488,duplicata,DUPLICATA
2489,duplicata,DUPLICATA
2499,duplicata,DUPLICATA
2513,duplicata,DUPLICATA
2522,unicata,UNICATA
2537,duplicata,DUPLICATA
2540,duplicata,DUPLICATA
2547,unicata,UNICATA
2574,duplicata,DUPLICATA
2588,duplicata,DUPLICATA
2606,duplicata,DUPLICATA
2608,duplicata,DUPLICATA
2609,duplicata,DUPLICATA
2613,duplicata,DUPLICATA
2616,unicata,UNICATA
2647,duplicata,DUPLICATA
2659,duplicata,DUPLICATA
2663,duplicata,DUPLICATA
2686,duplicata,DUPLICATA
2703,duplicata,DUPLICATA
2717,unicata,UNICATA
2736,duplicata,DUPLICATA
2755,duplicata,DUPLICATA
2770,1 duplicata,DUPLICATA
2772,duplicata,DUPLICATA
2775,duplicata,DUPLICATA
2792,duplicata,DUPLICATA
2801,duplicata,DUPLICATA
2820,duplicata,DUPLICATA
2825,duplicata,DUPLICATA
2829,duplicata,DUPLICATA
2830,duplicata,DUPLICATA
2862,unicata,UNICATA
2867,duplicata,DUPLICATA
2869,duplicata,DUPLICATA
2872,duplicata,DUPLICATA
2880,duplicata,DUPLICATA
2902,duplicata,DUPLICATA
2905,duplicata,DUPLICATA
2916,duplicata,DUPLICATA
2936,duplicata,DUPLICATA
2942,unicata,UNICATA
2976,duplicata,DUPLICATA
2994,duplicata,DUPLICATA
3030,duplicata,DUPLICATA
3051,duplicata,DUPLICATA
3079,duplicata,DUPLICATA
3088,duplicata,DUPLICATA
3123,duplicata,DUPLICATA
3136,duplicata,DUPLICATA
3147,duplicata,DUPLICATA
3148,duplicata,DUPLICATA
3164,duplicata,DUPLICATA
3210,duplicata,DUPLICATA
3220,1 duplicata,DUPLICATA
3237,duplicata,DUPLICATA
3250,duplicata,DUPLICATA
3291,duplicata,DUPLICATA
3299,duplicata,DUPLICATA
3301,duplicata,DUPLICATA
3303,duplicata,DUPLICATA
3308,duplicata,DUPLICATA
3314,duplicata,DUPLICATA
3316,duplicata,DUPLICATA
3323,duplicata,DUPLICATA
3335,duplicata,DUPLICATA
3357,duplicata,DUPLICATA
3369,duplicata,DUPLICATA
3384,duplicata,DUPLICATA
3385,duplicata,DUPLICATA
3391,duplicata,DUPLICATA
3412,duplicata,DUPLICATA
3416,duplicata,DUPLICATA
3423,duplicata,DUPLICATA
3435,duplicata,DUPLICATA
3459,duplicata,DUPLICATA
3460,duplicata,DUPLICATA
3463,duplicata,DUPLICATA
3464,duplicata,DUPLICATA
3484,duplicata,DUPLICATA
3494,duplicata,DUPLICATA
3512,duplicata,DUPLICATA
3514,duplicata,DUPLICATA
3525,duplicata,DUPLICATA
3543,unicata,UNICATA
3557,unicata,UNICATA
3558,unicata,UNICATA
3564,unicata,UNICATA
3595,duplicata,DUPLICATA
3600,unicata,UNICATA
3604,duplicata,DUPLICATA
3633,duplicata,DUPLICATA
3650,duplicata,DUPLICATA
